Entity,Code,Year,Deaths - Sex: all - Age: 100+ - Variant: estimates,Deaths - Sex: all - Age: 90-99 - Variant: estimates,Deaths - Sex: all - Age: 80-89 - Variant: estimates,Deaths - Sex: all - Age: 70-79 - Variant: estimates,Deaths - Sex: all - Age: 60-69 - Variant: estimates,Deaths - Sex: all - Age: 50-59 - Variant: estimates,Deaths - Sex: all - Age: 40-49 - Variant: estimates,Deaths - Sex: all - Age: 30-39 - Variant: estimates,Deaths - Sex: all - Age: 20-29 - Variant: estimates,Deaths - Sex: all - Age: 10-19 - Variant: estimates,Deaths - Sex: all - Age: 0-9 - Variant: estimates
Americas (UN),,1987,17182,282301,907167,1100516,827121,476191,281673,234031,221093,123272,863536
Americas (UN),,1988,18950,299090,946931,1115936,838193,475435,289198,238185,219784,122622,831736
Americas (UN),,1989,19861,303793,958166,1118018,838282,472860,296024,242548,218285,122511,802534
Americas (UN),,1990,21255,317272,980457,1127360,841875,470646,302077,245943,217141,121921,767482
Americas (UN),,1991,22462,330492,1002232,1138034,844088,471765,312131,251506,217834,121993,734536
Americas (UN),,1992,22698,337220,1026261,1153077,844496,475066,321644,257092,216494,120149,697849
Americas (UN),,1993,23866,361324,1080792,1184735,853441,482787,331088,262563,216234,120408,667260
Americas (UN),,1994,23779,372121,1101228,1191506,847159,487742,340024,265363,213975,120154,634608
Americas (UN),,1995,24346,390431,1134370,1210888,843480,493138,348603,265535,210457,118714,601590
Americas (UN),,1996,24678,406950,1159089,1225090,840094,497735,350033,256493,205230,116924,570452
Americas (UN),,1997,25723,426204,1181272,1235894,832867,503661,349869,247133,202032,115291,541375
Americas (UN),,1998,27019,444855,1215935,1258968,834130,514831,355338,244912,200872,116144,526463
Americas (UN),,1999,29411,472061,1257561,1276386,834621,527936,361263,242355,200582,112159,489475
Americas (UN),,2000,31346,489989,1281029,1282290,830270,540410,367634,241281,203082,111162,463250
Americas (UN),,2001,32185.002,499909,1302038,1285719,829656,555254,376760,243503,206275,110637,438277
Americas (UN),,2002,32921,519222,1335308,1284581,831695,568016,380880,238365,205225,108798,414876
Americas (UN),,2003,33164,532529,1362413,1280746,838626,581691,385819,235912,207098,106762,392889
Americas (UN),,2004,33000,536633,1371498,1260336,837569,590549,386125,232542,206835,105327,377805
Americas (UN),,2005,34182,561766,1412279,1258935,844167,607439,389828,231697,207820,103366,359158
Americas (UN),,2006,34852,571011,1426817,1247618,850109,620402,390561,232855,211337,102429,342484
Americas (UN),,2007,35841,586787,1460061,1247796,867174,631028,388589,233826,212273,101389,329107
Americas (UN),,2008,37504,611189,1493154,1253757,890799,645336,389769,236961,216315,101346,315818
Americas (UN),,2009,37706,611090,1493140,1246626,909488,659614,390564,240736,217371,100440,302997
Americas (UN),,2010,39790,642069,1526100,1257730,936923,673999,391501,250063,228291,114749,318201
Americas (UN),,2011,41766,668616,1550806,1261573,954612,680293,381510,241256,216374,99241,281938
Americas (UN),,2012,42848,681480,1564782,1275259,983318,692808,376133,240863,213743,97177,271786
Americas (UN),,2013,43793,697896,1585449,1306468,1014947,704104,374146,241121,210292,95332,263615
Americas (UN),,2014,44346,708375,1589840,1337300,1047768,715750,372027,243655,210461,94483,256192
Americas (UN),,2015,45399,735330,1622841,1372735,1086728,723796,371169,247510,211634,93566,249350
Americas (UN),,2016,45278,744928,1636961,1421222,1131186,739045,380049,259865,223342,95388,241701
Americas (UN),,2017,47240,774950,1671679,1471748,1152450,736389,381108,265595,226380,94860,234527.98
Americas (UN),,2018,47389,787730,1688400,1514387,1175435,736772,382600,265031,220192,89592,226940
Americas (UN),,2019,48134,801083,1722871,1564023,1201428,732371,383729,265433,214074,85210,218556.98
Americas (UN),,2020,53483,933199,2026106,1923471,1521610,911285,474507,304473,225486,82789,206959
Americas (UN),,2021,53593,920656,2075059,2101309,1717526,1062212,579972,363229,245488,86137,203339
Americas (UN),,2022,56642,910694,1911416,1811176,1389998,832064,436364,295138,224019,83462,198689
Americas (UN),,2023,52251,858451,1846522,1726162,1278323,735995,395209,269015,209323,79681,188685
Asia (UN),,1950,1813,148871,1304849,2714643,3098871,2361067,1954034,1717999,1827674,1439982,14663678
Asia (UN),,1951,2062,147322,1263071,2670054,3040956,2322934,1903637,1641701,1721142,1388951,14624666
Asia (UN),,1952,2316,146629,1231353,2625194,2979154,2274596,1825604,1534345,1574824,1308154,14710872
Asia (UN),,1953,2376,146508,1217825,2608260,2952411,2261613,1798041,1501917,1543579,1268485,14783305
Asia (UN),,1954,2225,144130,1189619,2569913,2922729,2238344,1756073,1449395,1485401,1212140,14696128
Asia (UN),,1955,1966,143438,1186530,2586764,2951083,2257774,1753755,1440113,1474532,1190515,14643561
Asia (UN),,1956,1797,143387,1189349,2612507,2964466,2274859,1747134,1435988,1471439,1172829,14477585
Asia (UN),,1957,1740,140548,1189908,2655967,2978745,2294237,1743527,1435884,1469087,1163221,14561629
Asia (UN),,1958,1681,135755,1173731,2684476,2979974,2311929,1738878,1440910,1467900,1159016,14356137
Asia (UN),,1959,1618,137059,1240695,2956117,3307250,2629886,1963816,1635647,1639999,1430519,16725463
Asia (UN),,1960,1542,135752,1289938,3174650,3617325,2932865,2181866,1818848,1789425,1723706,18719286
Asia (UN),,1961,1390,125005,1211021,2950559,3347170,2675697,1974267,1653746,1615850,1495423,15631136
Asia (UN),,1962,1309,117774,1145153,2734440,3032711,2353309,1708965,1437383,1393249,1177378,13366072
Asia (UN),,1963,1276,115695,1144554,2746282,3057847,2349111,1698105,1434007,1367391,1192284,14038885
Asia (UN),,1964,1270,116526,1158633,2781212,3089530,2347332,1683061,1423184,1333677,1203698,14000282
Asia (UN),,1965,1387,120525,1198633,2869796,3206325,2426319,1748963,1501050,1414961,1299537,14413423
Asia (UN),,1966,1318,120373,1205152,2874266,3200905,2384467,1705073,1447603,1324823,1291382,14053916
Asia (UN),,1967,1284,123087,1228480,2885770,3209590,2352656,1670950,1401391,1270210,1267355,13750625
Asia (UN),,1968,1513,126971,1263466,2905205,3217651,2322324,1650496,1371194,1246247,1241388,13471915
Asia (UN),,1969,1450,128906,1294863,2932332,3245338,2300322,1638694,1339398,1227940,1220531,13349428
Asia (UN),,1970,1400,134454,1328794,2986875,3289230,2305518,1650926,1336571,1253852,1243936,13398047
Asia (UN),,1971,1344,139599,1366140,3087746,3404977,2413424,1779501,1494353,1525276,1323047,13542583
Asia (UN),,1972,1474,144155,1371244,3075353,3290514,2273626,1622754,1269997,1256887,1176929,12737238
Asia (UN),,1973,1568,151119,1407069,3124467,3283708,2253572,1608195,1232237,1259580,1172174,12417372
Asia (UN),,1974,1687,158587,1451279,3190749,3303820,2251195,1607119,1207902,1284925,1182084,12054757
Asia (UN),,1975,1775,166141,1497463,3251957,3322551,2267110,1629957,1225893,1359473,1253163,11667152
