,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
62296,31890,Hicham El Guerrouj,M,29.0,176.0,58.0,Morocco,MAR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",Gold
62729,32149,Mohamed El-Sayed,M,31.0,185.0,91.0,Egypt,EGY,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Heavyweight,Bronze
62829,32207,Elaine Estrela Moura,F,21.0,167.0,61.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
62871,32226,Troy Elder,M,26.0,180.0,84.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
62923,32253,Joa Anna Elisabeth Elfsberg (Engvall-),F,22.0,177.0,66.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
62924,32253,Joa Anna Elisabeth Elfsberg (Engvall-),F,26.0,177.0,66.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
62925,32254,Stefaniya Aleksandrovna Elfutina,F,19.0,170.0,59.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Windsurfer,Bronze
62955,32272,Patrik Eli,M,29.0,185.0,88.0,Czech Republic,CZE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
62970,32277,Emma Maria Josefin Eliasson,F,16.0,167.0,68.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
63040,32316,"Walton Glenn Eller, III",M,26.0,188.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Double Trap,Gold
63057,32324,Georgia Ellinaki,F,30.0,174.0,64.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,Silver
63148,32372,Marcus John Ellis,M,26.0,175.0,80.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Doubles,Bronze
63159,32382,Taylor Ellis-Watson,F,23.0,183.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
63165,32384,Brady Lee Ellison,M,23.0,181.0,86.0,United States,USA,2012 Summer,2012,Summer,London,Archery,Archery Men's Team,Silver
63166,32384,Brady Lee Ellison,M,27.0,181.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,Bronze
63167,32384,Brady Lee Ellison,M,27.0,181.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Team,Silver
63180,32389,Steven Elm,M,30.0,185.0,82.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Silver
63201,32404,Amanda Elmore,F,25.0,180.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold
63208,32407,Brittany Joyce Elmslie,F,18.0,179.0,73.0,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
63209,32407,Brittany Joyce Elmslie,F,18.0,179.0,73.0,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
63210,32407,Brittany Joyce Elmslie,F,18.0,179.0,73.0,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
63211,32407,Brittany Joyce Elmslie,F,22.0,179.0,73.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
63212,32407,Brittany Joyce Elmslie,F,22.0,179.0,73.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
63237,32418,Per Eilert Elofsson,M,24.0,182.0,74.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit,Bronze
63261,32426,Patricia Elorza Eguiara,F,28.0,180.0,78.0,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze
63341,32467,Gvrise Emane,F,29.0,162.0,70.0,France,FRA,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Middleweight,Bronze
63345,32468,Emanuel Fernando Scheffler Rego,M,31.0,190.0,80.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
63346,32468,Emanuel Fernando Scheffler Rego,M,35.0,190.0,80.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
